  Index Name ID Mass Density Temp HVap HFE             
   1 1112_tetrachloroethane m_001 167.8482 1.5316 298.15 10.9226 -1.28   
   2 111_trichloroethane m_002 133.4035 1.33 298.15 7.76769 -0.19   
   3 111_trifluoro_222_trimethoxyethane m_003 106.1204 1.252 298.15 nan 3.12   
   4 111_trifluoropropan_2_ol m_004 114.0667 1.2632 298.15 10.7075 -4.16   
   5 111_trimethoxyethane m_005 120.148 0.9438 298.15 nan -4.42   
   6 1122_tetrachloroethane m_006 167.8482 1.5853 298.15 11.1995 -2.47   
   7 112_trichloro_122_trifluoroethane m_007 187.3747 1.5635 298.15 6.78776 1.77   
   8 112_trichloroethane m_008 133.4035 1.431 298.15 9.60803 -1.99   
   9 11_diacetoxyethane m_009 146.143 1.0059 358.15 12.8493 -4.97   
   10 11_dichloroethane m_010 98.9588 1.168 298.15 7.31358 -0.84   
   11 11_dichloroethene m_011 96.9428 1.2055 298.15 6.45793 0.25   
   12 11_diethoxyethane m_012 118.176 0.8254 293.15 10.0498 -3.28   
   13 11_difluoroethane m_013 66.0502 1.041 234.15 5.36688 -0.11   
   14 1234_tetrachlorobenzene m_014 215.892 1.734 298.15 nan -1.42   
   15 1235_tetrachlorobenzene m_015 215.892 1.734 298.15 nan -2.55   
   16 123_trichlorobenzene m_016 181.447 1.453 298.15 nan -2.13   
   17 123_trimethylbenzene m_017 120.194 0.891 298.15 11.7113 -1.21   
   18 1245_tetrachlorobenzene m_018 215.892 1.734 298.15 nan -0.44   
   19 124_trichlorobenzene m_019 181.4463 1.459 298.15 13.3214 -1.12   
   20 124_trimethylbenzene m_020 120.194 0.872 298.15 11.4723 -0.86   
   21 12_diacetoxyethane m_021 146.143 1.101 298.15 14.5793 -6.34   
   22 12_dibromoethane m_022 187.8614 2.1683 298.15 9.14934 -2.33   
   23 12_dichlorobenzene m_023 147.0016 1.3 298.15 11.9264 -1.36   
   24 12_dichloroethane m_024 98.9588 1.2454 298.15 8.3174 -1.79   
   25 12_dichloropropane m_025 112.9855 1.149 298.15 8.67591 -1.27   
   26 12_diethoxyethane m_026 118.176 0.8351 298.15 10.325 -3.54   
   27 12_dimethoxyethane m_027 90.122 0.8637 298.15 8.6998 -4.84   
   28 12_ethanediol m_028 62.068 1.109 298.15 16.4785 -9.3   
   29 135_trichlorobenzene m_029 181.4463 1.3997 337.15 12.3566 -0.78   
   30 135_trimethylbenzene m_030 120.194 0.8615 298.15 11.3767 -0.9   
   31 13_dichlorobenzene m_031 147.0016 1.283 298.15 11.2333 -0.98   
   32 13_dichloropropane m_032 112.9855 1.1785 298.15 9.70363 -1.89   
   33 13_dimethylnaphthalene m_033 156.227 1.003 298.15 15.5862 -2.47   
   34 14_dichlorobenzene m_034 147.0016 1.216 356.15 10.7553 -1.01   
   35 14_dichlorobutane m_035 127.0122 1.1331 298.15 11.1138 -2.32   
   36 14_dimethylnaphthalene m_036 156.227 1.013 298.15 15.6623 -2.82   
   37 14_dimethyl_piperazine m_037 114.1896 0.855 298.15 10.4685 -7.58   
   38 14_dioxane m_038 88.106 1.029 298.15 9.22562 -5.06   
   39 1_bromo_2_chloroethane m_039 143.4101 1.7212 308.15 8.98662 -1.95   
   40 1_bromo_2_methylpropane m_040 137.0188 1.2571 298.15 8.531 -0.03   
   41 1_bromobutane m_041 137.0188 1.269 298.15 8.77151 -0.4   
   42 1_bromoheptane m_042 179.0989 1.135 298.15 12.0459 0.34   
   43 1_bromohexane m_043 165.0722 1.1687 298.15 10.8987 0.18   
   44 1_bromooctane m_044 193.1256 1.1072 298.15 13.2852 0.52   
   45 1_bromopentane m_045 151.0455 1.212 298.15 9.89484 -0.1   
   46 1_bromopropane m_046 122.9921 1.3452 298.15 7.69598 -0.56   
   47 1_chloro_222_trifluoroethane m_047 118.4853 1.3667 298.15 5.3744 0.06   
   48 1_chlorobutane m_048 92.5675 0.88 298.15 8.00669 -0.16   
   49 1_chloroheptane m_049 134.6476 0.8717 298.15 11.2333 0.29   
